gem5 Simulator System.  http://gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 compiled May 24 2018 13:23:59
gem5 started Sep 13 2018 17:56:19
gem5 executing on iris-13, pid 100680
command line: build/X86/gem5_NLNT.opt --debug-flags=AcclRecord configs/example/tca.py --cpu-type=DerivO3CPU --caches --l2cache --l1i_size=4MB --mem-size=8GB --cpu-clock=2GHz --sys-clock=2GHz --robNum=108 -c tests/tca/test_david

Global frequency set at 1000000000000 ticks per second
**** REAL SIMULATION ****
rand_acc is 0.000000
475532000: system.cpu.fetch: after, Accl inst[1] checked: Instruction PC 0x409601, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 38.
475538000: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x409601, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
475538000: system.cpu.fetch: after, Accl inst[1] checked: Instruction PC 0x409601, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 38.
475543500: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x409601, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
475543500: system.cpu.fetch: after, Accl inst[1] checked: Instruction PC 0x409601, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 38.
477175000: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x40bc37, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
477183500: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x40bc37, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
477195000: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x40bc37, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
477206000: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x40bc37, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
477215000: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x40bc37, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
477227500: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x40bc37, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
477612000: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x40c6ab, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
477623500: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x40c6ab, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
477636000: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x40c6ab, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
477648000: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x40c6ab, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
477659500: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x40c6ab, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
477669000: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x40c6ab, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
477681000: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x40c6ab, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
477695000: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x40c6ab, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
480136500: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x40fdae, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
480149000: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x40fdae, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
480160500: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x40fdae, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
480172500: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x40fdae, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
480183000: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x40fdae, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
481097000: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x4111a1, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
481105500: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x4111a1, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
481120000: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x4111a1, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
481128500: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x4111a1, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
